,full_title,latitude,longitude
345,"calle Santa Eva, 1, Los Rosales, Madrid",40.3522915,-3.6898114
346,"calle de Beniferri, San Cristóbal, Madrid",40.3446825,-3.690072
347,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
348,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
349,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
350,"calle Lazcano, Los Ángeles, Madrid",40.3521173,-3.6943673
351,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
352,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",40.3553618,-3.6976808
353,"calle de Godella, San Cristóbal, Madrid",40.3405118,-3.6881634
354,"calle de Benimamet, San Cristóbal, Madrid",40.3435856,-3.6859913
355,"calle de Godella, San Cristóbal, Madrid",40.3405118,-3.6881634
356,"calle Vicente Carballal, Butarque, Madrid",40.351853,-3.6824616
357,"calle Silvinita, 1, Butarque, Madrid",40.343895,-3.6765795
358,"calle del Arroyo Bueno, San Andrés, Madrid",40.3488008,-3.7082284
359,"calle de Sáhara, Los Rosales, Madrid",40.3530356,-3.6924521
360,"calle de Benimamet, San Cristóbal, Madrid",40.3435856,-3.6859913
361,"calle Huerta de Villaverde, San Andrés, Madrid",40.3484715,-3.7128393
362,"calle la del Soto del Parral, Los Ángeles, Madrid",40.3580918,-3.6984133
363,"calle Miguel Solas, Butarque, Madrid",40.35185775,-3.6781395344116916
364,"calle de Berrocal, Butarque, Madrid",40.3414776,-3.6754813
365,"calle del Americio, Butarque, Madrid",40.3565381,-3.6824
366,"paseo Talleres, Madrid, Los Ángeles, Madrid",40.3481528,-3.7013025
